year,month,time,alpha,ci,n_sentences
2021,5,2021.3333333333333,0.3,0.3,2
2021,10,2021.75,21.4,11.700000000000001,2
2021,11,2021.8333333333333,25.8,5.6000000000000005,4
2021,12,2021.9166666666667,8.3,1.2,32
2022,11,2022.8333333333333,1.0999999999999999,1.0999999999999999,4
2022,12,2022.9166666666667,0.8,0.5,36
2023,10,2023.75,1.3,1.3,6
2023,11,2023.8333333333333,4.3,1.6,9
2023,12,2023.9166666666667,2.5,0.8,26
2024,11,2024.8333333333333,4.8,3.1,2
2024,12,2024.9166666666667,4.0,1.0,95
